PlotID	Col	Row
1	18	5
2	17	5
3	16	5
4	15	5
5	14	5
6	13	5
7	12	5
8	11	5
9	10	5
10	9	5
11	8	5
12	7	5
13	6	5
14	5	5
15	4	5
16	3	5
17	2	5
18	1	5
19	18	4
20	17	4
21	16	4
22	15	4
23	14	4
24	13	4
25	12	4
26	11	4
27	10	4
28	9	4
29	8	4
30	7	4
31	6	4
32	5	4
33	4	4
34	3	4
35	2	4
36	1	4
37	18	3
38	17	3
39	16	3
40	15	3
41	14	3
42	13	3
43	12	3
44	11	3
45	10	3
46	9	3
47	8	3
48	7	3
49	6	3
50	5	3
51	4	3
52	3	3
53	2	3
54	1	3
55	18	2
56	17	2
57	16	2
58	15	2
59	14	2
60	13	2
61	12	2
62	11	2
63	10	2
64	9	2
65	8	2
66	7	2
67	6	2
68	5	2
69	4	2
70	3	2
71	2	2
72	1	2
73	18	1
74	17	1
75	16	1
76	15	1
77	14	1
78	13	1
79	12	1
80	11	1
81	10	1
82	9	1
83	8	1
84	7	1
85	6	1
86	5	1
87	4	1
88	3	1
89	2	1
90	1	1
