PlotID	Row	Col
1	1	1
2	2	1
3	3	1
4	4	1
5	5	1
6	6	1
7	7	1
8	8	1
9	9	1
10	10	1
11	11	1
12	12	1
13	13	1
14	14	1
15	15	1
16	16	1
17	17	1
18	18	1
19	1	2
20	2	2
21	3	2
22	4	2
23	5	2
24	6	2
25	7	2
26	8	2
27	9	2
28	10	2
29	11	2
30	12	2
31	13	2
32	14	2
33	15	2
34	16	2
35	17	2
36	18	2
37	1	3
38	2	3
39	3	3
40	4	3
41	5	3
42	6	3
43	7	3
44	8	3
45	9	3
46	10	3
47	11	3
48	12	3
49	13	3
50	14	3
51	15	3
52	16	3
53	17	3
54	18	3
55	1	4
56	2	4
57	3	4
58	4	4
59	5	4
60	6	4
61	7	4
62	8	4
63	9	4
64	10	4
65	11	4
66	12	4
67	13	4
68	14	4
69	15	4
70	16	4
71	17	4
72	18	4
73	1	5
74	2	5
75	3	5
76	4	5
77	5	5
78	6	5
79	7	5
80	8	5
81	9	5
82	10	5
83	11	5
84	12	5
85	13	5
86	14	5
87	15	5
88	16	5
89	17	5
90	18	5
91	1	6
92	2	6
93	3	6
94	4	6
95	5	6
96	6	6
97	7	6
98	8	6
99	9	6
100	10	6
101	11	6
102	12	6
103	13	6
104	14	6
105	15	6
106	16	6
107	17	6
108	18	6
