Created by SunData for Windows Mobile v2.0.0.1
	
Title     :	LAI Grossmutz REF
Location  :	Grossmutz REF
Latitude  :	52.5N	Longitude :	13.0E
2021-02-25		Local time is GMT+1 Hrs
SunScan probe v1.02R (C) JGW 2004/01/19
	
Ext Sensor: BFS		  Leaf Angle Distn Parameter:				1.2	  Leaf Absorption:		0.85
Group   1 :	DAKIS Grossmutz REF
	
Time	patch	messung	Trans-	Spread	Incid-	Beam	Zenith	LAI	Notes
			mitted		 ent	frac	Angle

15:48:07	1	1	184.9	0.14	273.4	0.39	75.5	0.4	
15:48:26	1	2	195.2	0.07	263.7	0.37	75.6	0.3	
15:48:38	1	3	189.5	0.09	256.3	0.35	75.6	0.3	
15:48:50	1	4	186.1	0.06	241.7	0.32	75.6	0.2	
15:48:57	1	5	176.4	0.07	236.8	0.31	75.6	0.3	
15:49:05	1	6	184.0	0.09	234.4	0.30	75.6	0.2	
15:49:23	1	7	168.7	0.04	217.3	0.28	75.7	0.2	
15:49:32	1	8	165.2	0.07	208.7	0.25	75.7	0.2	
15:49:41	1	9	168.7	0.06	206.3	0.24	75.7	0.2	
15:49:54	1	10	172.5	0.05	205.1	0.20	75.7	0.2	
15:50:00	1	11	165.5	0.06	206.3	0.21	75.7	0.2	
15:50:07	1	12	166.5	0.06	201.4	0.19	75.8	0.2	
15:51:20	1	13	237.7	0.08	249.0	0.30	75.9	0.0	
15:51:28	1	14	232.4	0.06	247.8	0.30	75.9	0.1	
15:51:46	1	15	227.6	0.08	250.2	0.30	76.0	0.1	
15:52:00	1	16	186.3	0.14	247.8	0.30	76.0	0.3	
15:52:06	1	17	187.8	0.07	247.8	0.30	76.0	0.3	
15:52:13	1	18	201.8	0.07	250.2	0.31	76.0	0.2	
15:52:22	1	19	170.9	0.03	246.6	0.30	76.0	0.3	
15:52:28	1	20	173.0	0.03	250.2	0.31	76.0	0.3	
15:52:34	1	21	170.5	0.06	247.8	0.30	76.1	0.4	
15:52:48	1	22	179.6	0.04	242.9	0.29	76.1	0.3	
15:52:55	1	23	178.4	0.07	249.0	0.30	76.1	0.3	
15:53:07	1	24	184.1	0.06	242.9	0.29	76.1	0.3	
15:54:31	1	25	177.7	0.07	234.4	0.22	76.3	0.3	
15:54:40	1	26	173.0	0.07	233.2	0.21	76.3	0.3	
15:54:51	1	27	174.6	0.11	228.3	0.21	76.3	0.3	
15:55:05	1	28	174.4	0.07	231.9	0.19	76.4	0.3	
15:55:11	1	29	167.2	0.12	231.9	0.19	76.4	0.3	
15:55:18	1	30	171.1	0.08	229.5	0.19	76.4	0.3	
15:55:29	1	31	161.8	0.12	228.3	0.19	76.4	0.3	
15:55:34	1	32	169.4	0.08	228.3	0.19	76.4	0.3	
15:55:43	1	33	163.9	0.09	224.6	0.17	76.5	0.3	
15:55:53	1	34	185.4	0.04	222.2	0.17	76.5	0.2	
15:55:59	1	35	178.3	0.07	222.2	0.17	76.5	0.2	
15:56:05	1	36	184.9	0.08	220.9	0.16	76.5	0.2	
15:57:59	1	37	217.7	0.17	300.3	0.44	76.7	0.3	
15:58:06	1	38	241.4	0.07	300.3	0.44	76.7	0.2	
15:58:16	1	39	240.6	0.05	300.3	0.44	76.8	0.2	
15:58:32	1	40	217.1	0.14	300.3	0.43	76.8	0.3	
15:58:42	1	41	226.0	0.15	299.1	0.44	76.8	0.2	
15:58:51	1	42	236.9	0.09	299.1	0.43	76.8	0.2	
15:58:59	1	43	223.4	0.09	297.9	0.43	76.9	0.2	
15:59:04	1	44	220.5	0.12	299.1	0.43	76.9	0.3	
15:59:14	1	45	241.3	0.08	299.1	0.43	76.9	0.2	
15:59:22	1	46	238.8	0.05	299.1	0.43	76.9	0.2	
15:59:27	1	47	233.7	0.08	297.9	0.43	76.9	0.2	
15:59:36	1	48	220.5	0.09	296.6	0.43	76.9	0.2	
16:01:00	1	49	211.6	0.16	301.5	0.46	77.1	0.3	
16:01:06	1	50	216.8	0.11	301.5	0.45	77.1	0.3	
16:01:18	1	51	225.2	0.10	301.5	0.45	77.2	0.2	
16:01:29	1	52	219.9	0.10	299.1	0.45	77.2	0.3	
16:01:35	1	53	226.4	0.11	299.1	0.45	77.2	0.2	
16:01:42	1	54	234.0	0.05	297.9	0.45	77.2	0.2	
16:01:51	1	55	220.2	0.15	296.6	0.45	77.2	0.2	
16:01:59	1	56	216.0	0.12	297.9	0.44	77.2	0.3	
16:02:12	1	57	200.0	0.22	295.4	0.45	77.3	0.3	
16:02:21	1	58	205.5	0.14	295.4	0.45	77.3	0.3	
16:02:26	1	59	199.3	0.17	294.2	0.44	77.3	0.3	
16:02:33	1	60	202.7	0.11	294.2	0.44	77.3	0.3	
16:04:01	1	61	226.0	0.08	284.4	0.39	77.5	0.2	
16:04:08	1	62	202.5	0.14	283.2	0.38	77.5	0.3	
16:04:14	1	63	214.1	0.09	282.0	0.38	77.5	0.2	
16:04:22	1	64	205.0	0.28	283.2	0.38	77.5	0.3	
16:04:30	1	65	218.5	0.06	282.0	0.38	77.6	0.2	
16:04:37	1	66	216.5	0.15	280.8	0.37	77.6	0.2	
16:04:53	1	67	194.6	0.16	280.8	0.37	77.6	0.3	
16:04:58	1	68	199.5	0.17	280.8	0.37	77.6	0.3	
16:05:05	1	69	203.7	0.09	280.8	0.37	77.6	0.3	
16:05:14	1	70	213.4	0.11	280.8	0.37	77.6	0.2	
16:05:23	1	71	195.0	0.24	280.8	0.37	77.7	0.3	
16:05:29	1	72	209.6	0.11	280.8	0.37	77.7	0.2	
16:07:03	1	73	230.1	0.03	271.0	0.32	77.9	0.1	
16:07:09	1	74	217.0	0.09	271.0	0.32	77.9	0.2	
16:07:17	1	75	215.4	0.13	271.0	0.32	77.9	0.2	
16:07:25	1	76	221.6	0.07	271.0	0.32	77.9	0.2	
16:07:32	1	77	223.3	0.05	269.8	0.31	77.9	0.2	
16:07:38	1	78	213.4	0.09	269.8	0.31	78.0	0.2	
16:07:47	1	79	212.9	0.07	268.6	0.31	78.0	0.2	
16:07:54	1	80	195.0	0.15	268.6	0.31	78.0	0.3	
