PlotNr	Remarks	PlotID
1	more or less shadow	108
2	more or less shadow	107
3	more or less shadow	106
4	more or less shadow	105
5	more or less shadow	104
6	more or less shadow	103
7		102
8		101
9		100
10		99
11	more or less shadow	98
12		97
13		96
14		95
15		94
16		93
17		92
18		91
19		55
20		73
21		74
22		56
23		57
24		75
25		76
26		58
27		59
28		77
29		78
30		60
31		61
32		79
33		80
34		62
35		63
36		81
37		82
38		64
39		65
40		83
41		84
42		66
43		67
44		85
45		86
46		68
47		69
48		87
49		88
50		70
51		71
52		89
53		90
54		72
55		54
56		36
57		18
58		17
59		35
60		53
61		52
62		34
63		16
64		15
65		33
66		51
67		50
68		49
69		48
70		47
71		46
72		45
73		44
74		43
75		42
76		41
77		40
78		39
79		38
80		37
81		36
82		18
83		17
84		35
85		34
86		16
87		15
88		33
89		32
90		14
91		13
92		31
93		30
94		12
95		11
96		29
97		28
98		10
99		9
100		27
101		26
102		8
103		7
104		25
105		24
106		6
107		5
108		23
109		22
110		4
111		3
112		21
113		20
114		2
115		1
116		19
117		37
118		55
119		73
120		91
121		92
122		74
123		56
124		38
125		39
126		57
127		75
128		93
129		94
130		76
131		58
132		40
133		41
134		59
135		77
136		95
137		96
138		78
139		60
140		42
141		43
142		61
143		79
144		97
145		98
146		80
147		62
148		44
149		45
150		63
151		81
152		99
153		100
154		82
155		64
156		46
157		47
158		65
159		83
160		84
161		66
162		48
163		49
164		67
165		85
166		86
167		68
168		50
169		51
170		69
171		87
172		88
173		70
174		52
175		53
176		71
177		89
178		90
179		72
180		54
181	more or less shadow	108
182	more or less shadow	107
183	more or less shadow	106
184	more or less shadow	105
185	more or less shadow	104
186	more or less shadow	103
187	more or less shadow	102
188	more or less shadow 	101
189	more or less shadow	101
